Welcome to the DougScore!,,,WEEKEND,,,,,TOTAL,DAILY,,,,,TOTAL,DOUGSCORE,Video Link,Filming Location,,Vehicle Country
,,,Styling,Acceleration,Handling,Fun Factor,Cool Factor,,Features,Comfort,Quality,Practicality,Value,,,,,,
,,,,,,,,,,,,,,,,,,,
2019,Cadillac,CTS-V,7,8,6,7,6,34,7,7,7,5,6,32,66,21:33,Tustin,California,USA
2018,Jaguar,I-Pace,6,7,5,6,5,29,8,7,6,9,7,37,66,26:49,Carlsbad,California,UK
2019,BMW,M850i,7,8,7,6,6,34,8,7,7,4,6,32,66,22:14,Santa Ana,California,Germany
2018,Rolls-Royce,Dawn,6,7,5,6,7,31,8,10,9,4,4,35,66,8:19,La Jolla,California,UK
2018,Alfa Romeo,Stelvio Quadrifoglio,7,8,6,7,6,34,6,6,6,8,6,32,66,22:23,Bethesda,Maryland,Italy
2017,Acura,NSX,8,9,8,8,7,40,6,4,8,2,6,26,66,15:48,Montclair,New Jersey,Japan
2017,Aston Martin,DB11,8,8,7,7,7,37,6,6,8,4,5,29,66,12:17,Summit,New Jersey,UK
2019,Maserati,Levante Trofeo,6,8,6,6,5,31,8,6,6,8,6,34,65,10:05,Ontario,California,Italy
2014,Audi,R8,8,7,8,8,7,38,5,5,8,2,8,28,66,16:31,Birmingham,Michigan,Germany
2018,Jeep,Grand Cherokee Trackhawk,6,9,5,7,6,33,7,6,6,8,6,33,66,25:42,Annapolis,Maryland,USA
2018,Kia,Stinger GT,7,6,6,6,5,30,6,7,8,7,8,36,66,24:03,Cerritos,California,South Korea
2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,8,37,66,13:24,Philadelphia,Pennsylvania,USA
2019,BMW,M2 Competition,6,8,8,8,6,36,6,5,7,4,7,29,65,10:44,Los Angeles,California,Germany
2017,Nissan,GT-R Nismo,6,10,9,8,7,40,6,3,7,4,5,25,65,20:26,Upland,California,Japan
1988,Porsche,959,6,8,7,8,10,39,4,5,6,4,7,26,65,35:21,Newport Beach,California,Germany
2013,Mercedes-Benz,SLS AMG Black Series,8,8,9,9,8,42,5,4,7,2,5,23,65,20:43,Upland,California,Germany
2012,Mercedes-Benz,SLS AMG,8,8,9,9,7,41,5,4,7,2,6,24,65,10:36,Tysons Corner,Virginia,Germany
2016,Porsche,911R,7,8,9,9,8,41,6,4,9,2,3,24,65,15:37,Birmingham,Michigan,Germany
2008,Mercedes-Benz,CLK63 AMG Black Series,9,7,8,9,7,40,4,4,6,3,8,25,65,22:01,West Chester,Pennsylvania,Germany
2019,Chevrolet,Corvette ZR1,6,10,8,8,7,39,6,3,6,3,8,26,65,25:20,Annapolis,Maryland,USA
2017,Ford,Shelby GT350R,7,8,9,9,6,39,5,5,5,4,7,26,65,10:20,Gaithersburg,Maryland,USA
2018,Aston Martin,Vanquish S Volante,9,8,7,7,7,38,6,6,7,3,5,27,65,20:24,Tysons Corner,Virginia,UK
2018,Dodge,Challenger SRT Demon,6,10,5,7,8,36,5,7,6,4,7,29,65,28:49,Irvine,California,USA
2017,Lexus,LC 500,8,6,6,6,6,32,8,6,10,3,6,33,65,20:00,East Haven,Connecticut,Japan
2012,Mercedes-Benz,E63 AMG Wagon,6,7,6,6,6,31,6,6,7,8,7,34,65,22:02,Philadelphia,Pennsylvania,Germany
2015,Rolls-Royce,Wraith,6,7,5,5,7,30,8,10,9,4,4,35,65,18:27,Lansdale,Pennsylvania,UK
2016,Tesla,Model X,5,6,5,5,6,27,10,7,4,10,7,38,65,11:55,Philadelphia,Pennsylvania,USA
2020,BMW,750i,6,8,5,5,5,29,8,8,8,5,6,35,64,23:46,Santa Ana,California,Germany
2007,Ferrari,F430 Spider,8,8,8,8,7,39,4,4,7,2,8,25,64,12:31,Upland,California,Italy
2018,BMW,M3 CS,6,8,7,7,6,34,6,6,7,5,6,30,64,9:10,Santa Ana,California,Germany
2003,Aston Martin,Vanquish,10,7,6,8,7,38,4,5,6,3,8,26,64,23:14,Summit,New Jersey,UK
2007,Porsche,911 Turbo,7,8,7,8,6,36,4,6,8,3,7,28,64,12:48,Tysons Corner,Virginia,Germany
2011,BMW,1 Series M,6,6,8,9,7,36,5,6,6,4,7,28,64,11:02,Montvale,New Jersey,Germany
2017,Bentley,Mulsanne Speed,6,5,5,5,7,28,7,10,9,5,5,36,64,15:08,Tysons Corner,Virginia,UK
2012,Lexus,LFA,6,8,8,8,9,39,5,5,9,2,4,25,64,19:13,Bridgewater,New Jersey,Japan
2017,Chevrolet,Camaro ZL1,6,9,7,7,6,35,6,5,6,4,8,29,64,18:23,Highlands,New Jersey,USA
2017,Ferrari,GTC4Lusso,5,9,7,7,7,35,6,6,8,5,4,29,64,18:24,Philadelphia,Pennsylvania,Italy
2017,Bentley,Continental SuperSports,6,9,7,6,6,34,5,8,8,4,5,30,64,18:18,Tysons Corner,Virginia,UK
2018,Audi,RS3,7,8,6,7,5,33,6,6,7,5,7,31,64,24:30,Baltimore,Maryland,Germany
2018,Range Rover,Velar R-Dynamic,7,4,6,6,5,28,9,7,6,8,6,36,64,25:25,Tysons Corner,Virginia,UK
2018,Lexus,LS 500h,6,5,5,4,5,25,9,9,10,5,6,39,64,28:19,Lynwood,Washington,Japan
2017,Mercedes-Benz,Maybach S600,6,6,5,5,5,27,8,10,8,5,6,37,64,27:26,Melbourne,Australia,Germany
2017,BMW,M2,6,7,7,8,6,34,6,6,7,4,7,30,64,7:09,Cherry Hill,New Jersey,Germany
2003,Porsche,996 GT2,7,8,8,9,7,39,3,4,7,3,7,24,63,13:47,Upland,California,Germany
2020,Toyota,Supra,7,7,7,6,7,34,7,5,7,3,7,29,63,27:07,Summit Point,West Virginia,Japan
2006,Lamborghini,Murcielago Roadster,8,8,7,9,9,41,4,3,6,2,7,22,63,23:08,Boerne,Texas,Italy
2019,Mercedes-Benz,G550,7,4,4,5,6,26,7,8,7,9,6,37,63,27:39,Newport Beach,California,Germany
2019,Mercedes-Benz,CLS450,7,6,6,6,5,30,8,7,7,5,6,33,63,21:32,Newport Beach,California,Germany
2018,Volkswagen,Golf R,6,6,6,6,5,29,6,6,7,8,7,34,63,23:08,San Diego,California,Germany
2017,Aston Martin,V12 Vantage S,8,8,7,8,7,38,5,5,7,3,5,25,63,24:45,Toronto,Ontario,UK
2017,Alfa Romeo,Giulia Quadrifoglio,7,8,6,7,6,34,6,6,6,5,6,29,63,12:00,Bethesda,Maryland,Italy
2008,Lamborghini,Murcielago LP640,8,9,7,9,9,42,4,3,6,2,6,21,63,11:43,Alpharetta,Georgia,Italy
2017,Ford,Focus RS,6,7,6,7,6,32,6,5,6,7,7,31,63,6:23,Scarsdale,New York,USA
2009,Ferrari,430 Scuderia,8,9,9,9,8,43,2,2,7,2,7,20,63,17:57,Birmingham,Michigan,Italy
2006,Mercedes-Benz,SLR,7,9,6,8,9,39,4,6,6,3,5,24,63,16:30,Franklin,Tennessee,Germany
2020,Lotus,Evora GT,7,8,8,7,7,37,5,5,7,3,5,25,62,11:05,Upland,California,UK
2020,Lincoln ,Aviator BL,7,4,4,4,5,24,8,7,8,9,6,38,62,27:10,Santa Ana,California,USA
2020,BMW,M340i,6,7,6,5,4,28,8,7,7,5,7,34,62,9:20,Santa Ana,California,Germany
2019,Audi,E-Tron,6,4,4,5,5,24,9,7,7,9,6,38,62,24:08,Santa Ana,California,Germany
2019,BMW,X7,6,4,4,3,5,22,9,8,8,9,6,40,62,27:11,Santa Ana,California,Germany
2019,BMW,X5,6,5,5,5,4,25,8,7,7,9,6,37,62,9:26,Santa Ana,California,Germany
2013,Rolls-Royce,Phantom Drophead Coupe,6,4,5,6,7,28,7,10,8,4,5,34,62,28:44,Upland,California,UK
2019,Audi,Q8,7,4,5,5,5,26,9,7,7,8,5,36,62,24:26,Santa Ana,California,Germany
2011,Porsche,911 GT3RS 4.0,7,8,8,9,8,40,3,3,8,2,6,22,62,20:53,San Francisco,California,Germany
2019,BMW,i8 Roadster,7,7,7,6,7,34,7,6,7,2,6,28,62,23:12,Santa Ana,California,Germany
2019,Audi,A8L,6,4,5,4,5,24,9,9,8,5,7,38,62,,Santa Ana,California,Germany
